iter	Logloss
0	0.6917388295
1	0.6904892491
2	0.6893232381
3	0.6881846183
4	0.6871421328
5	0.6861307398
6	0.6851763246
7	0.6842436998
8	0.6834045014
9	0.6824850591
10	0.6817057147
11	0.6810086323
12	0.6803242844
13	0.6796647912
14	0.6791006908
15	0.6785068292
16	0.6779984566
17	0.6773148497
18	0.6767615561
19	0.6762831967
20	0.6757961453
21	0.6753788434
22	0.674889952
23	0.6745184718
24	0.6740538404
25	0.673641143
26	0.673261485
27	0.6729139209
28	0.6725815203
29	0.6722502247
30	0.6720071753
31	0.6716919739
32	0.6713921107
33	0.67107572
34	0.6707923643
35	0.6706131025
36	0.6703458722
37	0.6700785117
38	0.6698325646
39	0.6696250433
40	0.6694098955
41	0.66909345
42	0.668874366
43	0.6685999201
44	0.6684038769
45	0.6682249929
46	0.6681074087
47	0.6679298603
48	0.6677731158
49	0.6676414524
50	0.6675749978
51	0.6674016788
52	0.6672614084
53	0.6671279294
54	0.6670026251
55	0.6668747236
56	0.6667176212
57	0.6665579663
58	0.6663336114
59	0.6662155411
60	0.6661001771
61	0.6660084282
62	0.665866316
63	0.6657041408
64	0.6655566003
65	0.6654617025
66	0.6652618844
67	0.665120735
68	0.6650014222
69	0.6648134074
70	0.6647351118
71	0.664625986
72	0.6645060187
73	0.6644257687
74	0.664294984
75	0.6642566235
76	0.6641548983
77	0.6640239698
78	0.6639085876
79	0.663826484
80	0.6637254716
81	0.6636230532
82	0.6634836481
83	0.663321019
84	0.663225137
85	0.6631290177
86	0.6630751037
87	0.6629155095
88	0.6627954343
89	0.6627801687
90	0.6626567702
91	0.6625275841
92	0.6624170537
93	0.6623119285
94	0.6622482073
95	0.6621040812
96	0.6619753266
97	0.6618133545
98	0.661760601
99	0.6616528527
100	0.6615607837
101	0.6614311614
102	0.6612928063
103	0.6611096834
104	0.6610495616
105	0.6609966711
106	0.6609025219
107	0.6608324964
108	0.6607791935
109	0.6607266823
110	0.6606593673
111	0.6605875405
112	0.6604796489
113	0.6604137248
114	0.660292697
115	0.6601159814
116	0.6600724245
117	0.6600162131
118	0.6599374386
119	0.6598451208
120	0.6597923865
121	0.6596752392
122	0.6595225543
123	0.6594318584
124	0.6592705612
125	0.6591458092
126	0.6590676903
127	0.6589939252
128	0.6589008625
129	0.6589008749
130	0.6587721921
131	0.6587303163
132	0.6586924313
133	0.6585941491
134	0.6584964712
135	0.6584336745
136	0.6583848647
137	0.6582276487
138	0.6581483691
139	0.6580737824
140	0.6580211381
141	0.6579348385
142	0.6577493005
143	0.6576559708
144	0.6575546922
145	0.657489048
146	0.6574157908
147	0.6573090431
148	0.6571886915
149	0.6571290736
150	0.6570332814
151	0.6569421395
152	0.656888354
153	0.6567753955
154	0.656669703
155	0.6565980363
156	0.6565527964
157	0.6564432397
158	0.6564029736
159	0.6563338509
160	0.6562486027
161	0.656110822
162	0.6560649294
163	0.6560166779
164	0.6559261652
165	0.6558195917
166	0.6557637317
167	0.6556983777
168	0.65565321
169	0.6555424375
170	0.6555112457
171	0.6553698247
172	0.6552835394
173	0.6551674438
174	0.6551365581
175	0.6550331531
176	0.6549658055
177	0.6548910759
178	0.6548727545
179	0.6547974215
180	0.6547399821
181	0.6547358032
182	0.6547309701
183	0.654685115
184	0.6546420571
185	0.6545524125
186	0.6544707553
187	0.6544084084
188	0.6543273734
189	0.6543147126
190	0.6542756631
191	0.6542028977
192	0.6541485215
193	0.6541208888
194	0.6540743104
195	0.6540400039
196	0.6539539542
197	0.6538841954
198	0.6537837313
199	0.6537182352
200	0.6536604461
201	0.6535875126
202	0.6535022051
203	0.6534319837
204	0.6533922001
205	0.6533347999
206	0.6532439141
207	0.65313765
208	0.6530797395
209	0.6529841598
210	0.6529310658
211	0.6528113564
212	0.652758189
213	0.6526777792
214	0.6525907282
215	0.6525139313
216	0.6524271113
217	0.652388946
218	0.6523375576
219	0.6522572222
220	0.6521873363
221	0.6520940151
222	0.6520733662
223	0.6520219579
224	0.6519537235
225	0.6518837439
226	0.6517821568
227	0.651661937
228	0.6516177235
229	0.6515502998
230	0.6514498634
231	0.6513770228
232	0.6513619742
233	0.6512930925
234	0.6511319598
235	0.6510870937
236	0.6510082922
237	0.6509761458
238	0.6509076906
239	0.6508600728
240	0.6508168893
241	0.6507425961
242	0.6506856546
243	0.6506758144
244	0.6506740934
245	0.6506074092
246	0.6505381785
247	0.6504931218
248	0.6504430545
249	0.6504092118
250	0.6503180483
251	0.6502970633
252	0.6502398221
253	0.6501768326
254	0.6501181686
255	0.6500633105
256	0.6500219607
257	0.6499365462
258	0.6498995609
259	0.649899421
260	0.6498004342
261	0.649720507
262	0.6496700379
263	0.6495495776
264	0.6494169931
265	0.6492989174
266	0.6492132697
267	0.649119077
268	0.6490370867
269	0.6489318178
270	0.6488788645
271	0.6487818968
272	0.6487185247
273	0.6487035548
274	0.6486342087
275	0.6485638091
276	0.6485422241
277	0.6484299361
278	0.6483659658
279	0.6482944875
280	0.6482336418
281	0.6482075564
282	0.6481733259
283	0.6480975092
284	0.6479817745
285	0.6478689262
286	0.6477776201
287	0.647728783
288	0.6476147055
289	0.6475362456
290	0.6474654291
291	0.6473485106
292	0.6473050716
293	0.6472751678
294	0.6471826169
295	0.6471113255
296	0.6470643973
297	0.6469948906
298	0.6469577927
299	0.6468861497
300	0.6467872319
301	0.6467436623
302	0.6466964299
303	0.6466379568
304	0.6465669219
305	0.6465092905
306	0.6464345485
307	0.6463695985
308	0.6462955596
309	0.6462095755
310	0.6461544339
311	0.646029291
312	0.6458922789
313	0.6458209768
314	0.6457829164
315	0.6457014949
316	0.6455971599
317	0.6455400397
318	0.6454582586
319	0.6453875887
320	0.6453328672
321	0.6452637256
322	0.6451854816
323	0.6451579969
324	0.6450852857
325	0.6450173775
326	0.6449962296
327	0.6449365933
328	0.6448676491
329	0.6448136515
330	0.6447525946
331	0.644679291
332	0.6445874956
333	0.644541046
334	0.6444679645
335	0.6443966378
336	0.6443406487
337	0.6442198001
338	0.6441201023
339	0.6440585396
340	0.6440310946
341	0.6440149684
342	0.6439600264
343	0.6438679964
344	0.6437937294
345	0.643739279
346	0.6437135366
347	0.6436809195
348	0.6436029361
349	0.6435278731
350	0.6434729952
351	0.6434437518
352	0.6433686239
353	0.6433207852
354	0.643254494
355	0.6431600912
356	0.6430488156
357	0.6429668514
358	0.6429357246
359	0.6428640323
360	0.642829305
361	0.6427002542
362	0.6426467473
363	0.6425138917
364	0.6424513705
365	0.6423534273
366	0.642292876
367	0.6421834843
368	0.642114776
369	0.6420223236
370	0.6419407141
371	0.6419033211
372	0.6418528584
373	0.641777766
374	0.6416964034
375	0.6416574493
376	0.6416063185
377	0.6414957163
378	0.6413668122
379	0.6412707643
380	0.6412101555
381	0.6410818496
382	0.6410140325
383	0.6409929286
384	0.6409689052
385	0.6408897339
386	0.640824217
387	0.6407772723
388	0.6406998769
389	0.6406131079
390	0.6405504548
391	0.6404953784
392	0.6403928763
393	0.6402848033
394	0.6401566729
395	0.6400771952
396	0.6399927757
397	0.6398851028
398	0.6398332592
399	0.6397361957
400	0.6396549347
401	0.6395892508
402	0.6395024423
403	0.6394217565
404	0.6393521639
405	0.6392903886
406	0.6392682389
407	0.6391875673
408	0.6391493941
409	0.6390553575
410	0.6390060998
411	0.6389393678
412	0.6389180009
413	0.6388591071
414	0.6387983863
415	0.6387269711
416	0.6386788414
