iter	Passed	Remaining
0	234	234391
1	443	221423
2	815	271130
3	940	234198
4	1042	207483
5	1149	190492
6	1266	179638
7	1385	171781
8	1476	162632
9	1588	157292
10	1819	163547
11	1921	158176
12	2070	157236
13	2127	149848
14	2173	142698
15	2219	136518
16	2256	130484
17	2297	125329
18	2344	121066
19	2411	118139
20	2493	116249
21	2549	113319
22	2582	109700
23	2651	107830
24	2705	105520
25	2781	104186
26	2944	106102
27	3085	107115
28	3187	106737
29	3269	105701
30	3309	103438
31	3353	101438
32	3394	99483
33	3483	98983
34	3564	98283
35	3609	96649
36	3677	95710
37	3853	97565
38	3880	95622
39	3902	93651
40	3919	91684
41	4013	91537
42	4099	91232
43	4145	90064
44	4191	88959
45	4246	88063
46	4293	87048
47	4359	86459
48	4426	85913
49	4534	86158
50	4587	85372
51	4614	84133
52	4652	83136
53	4687	82118
54	4728	81251
55	4758	80214
56	4790	79249
57	4834	78517
58	4862	77559
59	4886	76558
60	4913	75638
61	4940	74740
62	4963	73820
63	4995	73063
64	5020	72221
65	5049	71451
66	5082	70775
67	5107	70009
68	5140	69361
69	5172	68720
70	5200	68044
71	5231	67427
72	5258	66771
73	5287	66164
74	5314	65549
75	5345	64991
76	5397	64701
77	5490	64904
78	5550	64704
79	5584	64220
80	5612	63677
81	5640	63142
82	5664	62579
83	5687	62017
84	5711	61479
85	5737	60977
86	5762	60475
87	5797	60078
88	5821	59588
89	5842	59073
90	5864	58583
91	5888	58121
92	5916	57698
93	5942	57273
94	5965	56832
95	5988	56387
96	6014	55988
97	6039	55591
98	6063	55186
99	6089	54804
100	6120	54479
101	6154	54180
102	6180	53825
103	6204	53458
104	6228	53090
105	6261	52807
106	6287	52477
107	6315	52158
108	6341	51841
109	6369	51537
110	6400	51261
111	6441	51075
112	6467	50764
113	6496	50493
114	6524	50208
115	6548	49907
116	6571	49598
117	6600	49339
118	6642	49179
119	6690	49064
120	6731	48901
121	6765	48688
122	6799	48483
123	6834	48282
124	6869	48086
125	6913	47953
126	6949	47772
127	6981	47558
128	7010	47333
129	7035	47086
130	7061	46842
131	7084	46583
132	7112	46363
133	7151	46219
134	7193	46088
135	7229	45929
136	7258	45724
137	7286	45516
138	7319	45337
139	7353	45169
140	7384	44985
141	7412	44787
142	7440	44589
143	7469	44403
144	7512	44295
145	7541	44110
146	7569	43923
147	7600	43755
148	7631	43586
149	7661	43417
150	7692	43250
151	7735	43153
152	7767	43002
153	7807	42888
154	7833	42707
155	7864	42549
156	7894	42386
157	7930	42260
158	7969	42155
159	8002	42013
160	8033	41864
161	8058	41685
162	8083	41506
163	8103	41308
164	8128	41134
165	8159	40995
166	8190	40856
167	8226	40743
168	8286	40745
169	8326	40654
